# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	7390
#@/user_id	161cd1e2-ea2e-4a71-9961-66087a8541a4
a 	啊	c=47 d=3.2835 t=7198
gai cheng 	改成	c=1 d=1 t=557
gai diao 	改掉	c=1 d=1 t=4379
gai dong 	改動	c=1 d=1 t=7097
gai gai 	改改	c=1 d=1 t=5540
gai guo 	改過	c=1 d=1 t=4683
gai hao 	改好	c=1 d=1 t=731
gai la 	改啦	c=1 d=1 t=3931
gai nian 	概念	c=4 d=3.71423 t=4514
gai qian 	改簽	c=5 d=4.24372 t=6331
gan 	幹	c=2 d=1.10383 t=1181
gan 	敢	c=1 d=1 t=6369
gan 	肝	c=1 d=1 t=4099
gan dian 	幹點	c=1 d=1 t=4651
gan dong 	感動	c=0 d=0.1 t=3424
gan dong chang zai 	感動常在	c=1 d=1 t=3425
gan jin 	趕緊	c=1 d=1 t=5243
gan jue 	感覺	c=20 d=1.59645 t=7014
gan le 	乾了	c=1 d=1 t=3879
gan mao 	感冒	c=1 d=1 t=3607
gan sha 	幹啥	c=2 d=1 t=5106
gan wan 	幹完	c=1 d=1 t=3306
gang 	剛	c=12 d=1.00024 t=7008
gang cai 	剛纔	c=2 d=1 t=6977
gang dao 	剛到	c=1 d=1 t=2905
gao 	搞	c=3 d=1.00017 t=5084
gao 	高	c=1 d=1 t=5607
gao bu dong 	搞不懂	c=1 d=1 t=4758
gao ding 	搞定	c=9 d=2.04735 t=5035
gao dong 	搞懂	c=1 d=1 t=1811
gao er fu 	高爾夫	c=3 d=2.93208 t=2599
gao gao 	搞搞	c=1 d=1 t=2531
gao hao 	搞好	c=1 d=1 t=297
gao ji 	高級	c=2 d=1.00009 t=5485
gao kan 	高看	c=1 d=1 t=1518
gao ming 	高明	c=0 d=0.1 t=4690
gao su 	告訴	c=3 d=1.31485 t=6170
gao tie 	高鐵	c=1 d=1 t=3635
gao yi xia 	搞一下	c=1 d=1 t=3795
ge 	個	c=32 d=3.20659 t=6950
ge 	各	c=1 d=1 t=3485
ge 	歌	c=0 d=0.1 t=981
ge bi 	隔壁	c=0 d=0.1 t=6679
ge ge 	各個	c=1 d=1 t=6970
ge ren 	個人	c=2 d=1.00046 t=2192
ge wei 	各位	c=4 d=1.98021 t=6963
gei 	給	c=12 d=1.14632 t=6361
gei ni 	給你	c=15 d=1.21491 t=7339
gei ta 	給他	c=1 d=1 t=2773
gei wo 	給我	c=1 d=1 t=1897
gen 	跟	c=3 d=1.02207 t=2691
gen ben 	根本	c=1 d=1.00046 t=6229
gen ben ting bu xia lai 	根本停不下來	c=1 d=1 t=5152
gen ni 	跟你	c=2 d=1 t=6422
gen wo 	跟我	c=1 d=1 t=260
geng 	更	c=2 d=0.128121 t=2252
geng duo 	更多	c=1 d=1 t=2900
geng hao 	更好	c=1 d=0.1 t=3486
geng hao wan 	更好玩	c=1 d=1 t=3487
geng jian kang 	更健康	c=1 d=1 t=2253
geng xin 	更新	c=4 d=1.36332 t=5688
gong bu 	公佈	c=2 d=1.95123 t=7225
gong chan 	共產	c=1 d=1 t=3431
gong gong 	公共	c=2 d=1.96079 t=3438
gong ji 	攻擊	c=2 d=1.05961 t=2219
gong ju 	工具	c=4 d=3.54374 t=5764
gong shi 	共識	c=1 d=1 t=199
gong si 	公司	c=2 d=1.62189 t=1263
gong tong 	共同	c=1 d=1 t=797
gong yuan 	公園	c=0 d=0.1 t=2335
gong zuo 	工作	c=1 d=1 t=5697
gong zuo yuan li 	工作原理	c=1 d=1 t=5120
gou 	狗	c=1 d=0.112972 t=3561
gou cheng 	構成	c=1 d=1 t=3499
gou da 	勾搭	c=2 d=1.96561 t=5202
gou da 	夠大	c=1 d=1 t=2479
gou le 	夠了	c=2 d=1.00001 t=6404
gou liang 	狗糧	c=1 d=1 t=6642
gou yao gou 	狗咬狗	c=1 d=1 t=2359
gu ding 	固定	c=1 d=1 t=5588
gu ji 	估計	c=4 d=1.00051 t=6599
gu shi 	故事	c=5 d=1.24562 t=2778
gua 	掛	c=2 d=1 t=6542
gua le 	掛了	c=3 d=2.96531 t=1092
guai bu de 	怪不得	c=1 d=1 t=367
guan 	館	c=0 d=0.1 t=2266
guan bi 	關閉	c=1 d=1 t=3107
guan fang 	官方	c=2 d=1.80252 t=5813
guan hai 	觀海	c=1 d=1 t=2775
guan jian 	關鍵	c=2 d=1.8311 t=719
guan kan 	觀看	c=1 d=1 t=3281
guan men 	關門	c=1 d=1 t=3358
guan wang 	官網	c=4 d=1.00018 t=2999
guan xi 	關係	c=1 d=1 t=4399
guang 	逛	c=1 d=1 t=6896
guang su 	光速	c=1 d=1 t=4568
guang tou 	光頭	c=1 d=1 t=1017
gui 	貴	c=4 d=1.99005 t=6262
gui ze 	規則	c=1 d=1 t=54
guo 	過	c=3 d=1 t=7002
guo cheng 	過程	c=1 d=1 t=1990
guo hang 	國航	c=1 d=1 t=6187
guo liang tian 	過兩天	c=1 d=1 t=1074
guo nei 	國內	c=2 d=1.00036 t=6594
guo qu 	過去	c=2 d=1 t=6437
guo ran 	果然	c=2 d=1 t=6913
guo shan che 	過山車	c=1 d=1 t=2519
guo shi 	果實	c=1 d=1 t=2295
ha 	哈	c=0 d=0.1 t=6924
ha ha 	哈哈	c=5 d=1 t=7337
ha ha ha 	哈哈哈	c=18 d=1.32966 t=7245
ha ha ha ha 	哈哈哈哈	c=7 d=0.102107 t=6924
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=1 t=6925
ha ha ha ha huan 	哈哈哈哈換	c=1 d=1 t=6133
hai 	還	c=17 d=1.97818 t=6439
hai cha 	還差	c=1 d=1 t=678
hai cheng 	海城	c=1 d=1 t=6395
hai cheng 	還成	c=1 d=1 t=6396
hai mei 	還沒	c=9 d=1.02126 t=7298
hai mei shui 	還沒睡	c=1 d=1 t=2546
hai mei shui me 	還沒睡麼	c=1 d=1 t=1670
hai neng 	還能	c=1 d=1 t=1944
hai shi 	還是	c=18 d=1.27884 t=7042
hai xiang 	還想	c=1 d=1 t=3314
hai xing 	還行	c=4 d=1.00007 t=6461
hai yao 	還要	c=2 d=1.04036 t=4512
hai yi wei 	還以爲	c=1 d=1 t=1015
hai you 	還有	c=7 d=1.32391 t=6742
hai you mei you 	還有沒有	c=2 d=1.07101 t=3044
hai zai 	還在	c=1 d=1 t=3345
hai zi 	孩子	c=1 d=1 t=3914
han han 	韓寒	c=4 d=3.59023 t=2612
han yi 	含義	c=1 d=1 t=4494
han zi 	漢字	c=1 d=1 t=1660
hang 	行	c=1 d=0.596585 t=4530
hang ban 	航班	c=2 d=0.18046 t=6683
hao 	好	c=11 d=1.03721 t=5420
hao 	耗	c=1 d=1 t=5801
hao 	號	c=10 d=0.843824 t=6665
hao ba 	好吧	c=1 d=1 t=4350
hao bu dong 	好不懂	c=1 d=1 t=4757
hao cha 	好茶	c=0 d=0.1 t=4183
hao chang 	好長	c=1 d=1 t=4215
hao chi 	好吃	c=4 d=1.00008 t=6651
hao chu 	好處	c=1 d=1 t=3807
hao di 	好滴	c=2 d=1 t=7289
hao dian 	好點	c=2 d=1.00123 t=3254
hao duo 	好多	c=3 d=1 t=7053
hao duo nian 	好多年	c=1 d=1 t=679
hao duo shi qing 	好多事情	c=1 d=1 t=3880
hao fan 	好煩	c=1 d=1 t=2364
hao gui 	好貴	c=1 d=1 t=763
hao hao 	好好	c=2 d=0.100751 t=4180
hao hao shui jiao 	好好睡覺	c=1 d=1 t=4181
hao hao xiu xi 	好好休息	c=2 d=1 t=7232
hao ji ge 	好幾個	c=1 d=1 t=3685
hao kan 	好看	c=1 d=1 t=2919
hao la 	好啦	c=1 d=1 t=3338
hao lan 	好懶	c=1 d=1 t=7296
hao le 	好了	c=4 d=1.05394 t=3959
hao ma fan 	好麻煩	c=1 d=1 t=5178
hao me 	好麼	c=1 d=1 t=3130
hao me 	號麼	c=1 d=1 t=3129
hao niao 	好鳥	c=1 d=1 t=1172
hao shi 	好事	c=1 d=1 t=3134
hao shuo 	好說	c=1 d=1 t=5058
hao wan 	好玩	c=1 d=1 t=671
hao wu 	毫無	c=1 d=1 t=3757
hao xiang 	好像	c=7 d=1 t=7039
hao xiao xi 	好消息	c=1 d=1 t=2033
hao yong 	好用	c=1 d=1 t=4823
hao zai 	好在	c=0 d=0.1 t=4202
hao zai na 	好在哪	c=1 d=1 t=4203
hao zao 	好早	c=1 d=1 t=1445
he 	和	c=20 d=1.00007 t=6917
he 	喝	c=8 d=1.1526 t=6916
he huo 	合夥	c=1 d=1 t=6387
he jin 	合金	c=1 d=1 t=4130
he le 	喝了	c=1 d=1 t=3865
he li 	合力	c=1 d=1 t=69
he ni 	和你	c=3 d=1.25795 t=6241
he ping 	和平	c=3 d=2.65444 t=5380
he shui 	喝水	c=1 d=1 t=3252
he zi 	盒子	c=1 d=1 t=1336
he zuo 	合作	c=3 d=1 t=2896
hei 	黑	c=1 d=0.137254 t=2771
hei bai 	黑白	c=1 d=1 t=4902
hei hei 	嘿嘿	c=0 d=0.1 t=2771
hei hei hei 	黑嘿嘿	c=1 d=1 t=2772
hei hei hei hei 	嘿嘿嘿嘿	c=1 d=1 t=273
hei ren 	黑人	c=0 d=0.1 t=3567
hei ren xiong di 	黑人兄弟	c=1 d=1 t=3568
hen 	很	c=5 d=1.26677 t=6823
hen da 	很大	c=1 d=1 t=4854
hen duo 	很多	c=2 d=1.00001 t=4499
hen jiu 	很久	c=1 d=1 t=1807
hen ke neng 	很可能	c=1 d=1 t=2423
hen kuai 	很快	c=1 d=1 t=7280
hen man 	很慢	c=1 d=1 t=336
hen nan 	很難	c=1 d=1 t=197
hen rong xing 	很榮幸	c=1 d=1 t=369
hen ruo 	很弱	c=1 d=1 t=4236
hen zao 	很早	c=1 d=1 t=7364
heng 	哼	c=1 d=1 t=4216
hong se 	紅色	c=1 d=1 t=3509
hong shu 	紅薯	c=0 d=0.1 t=979
hong shu fen 	紅薯粉	c=1 d=1 t=980
hou 	後	c=5 d=1.387 t=4955
hou 	猴	c=1 d=1 t=4237
hou ai 	厚愛	c=1 d=1 t=3291
hou ban 	後半	c=1 d=0.146421 t=4812
hou ban cheng 	後半程	c=6 d=2.23358 t=6736
hou ji ting 	候機廳	c=1 d=1 t=6588
hou lai 	後來	c=1 d=1 t=5473
hou long 	喉嚨	c=1 d=1 t=3246
hou mian 	後面	c=11 d=1.10958 t=7247
hou tian 	後天	c=1 d=1 t=2442
hu la 	呼啦	c=0 d=0.1 t=1283
hu la tang 	呼啦湯	c=3 d=1.00057 t=2922
hu nan 	湖南	c=1 d=1 t=2914
hu tong 	互通	c=3 d=2.91221 t=5376
hu tong 	衚衕	c=3 d=2.80209 t=5372
hu tu 	糊塗	c=0 d=0.1 t=7267
hu xi 	呼吸	c=0 d=0.1 t=1877
hu xi hu xi 	呼吸呼吸	c=1 d=1 t=1878
hu zhao 	護照	c=0 d=0.1 t=6665
hu zhao hao 	護照號	c=1 d=1 t=6666
hua 	畫	c=11 d=1.02878 t=5867
hua 	花	c=1 d=1 t=377
hua 	話	c=9 d=2.3952 t=6323
hua bu 	畫布	c=2 d=1.96561 t=4460
hua chu lai 	畫出來	c=3 d=2.68629 t=5930
hua de 	畫的	c=0 d=0.1 t=4388
hua de hua 	畫的畫	c=1 d=1 t=4389
hua ge 	畫個	c=1 d=1 t=5565
hua le 	畫了	c=0 d=0.1 t=2827
hua le 	花了	c=2 d=1.75201 t=3741
hua le hui er 	畫了會兒	c=1 d=1 t=2828
hua mian 	畫面	c=2 d=1 t=7254
hua qian 	花錢	c=0 d=0.1 t=405
hua sheng 	花生	c=1 d=1 t=5400
hua sheng dun 	華盛頓	c=1 d=1 t=6797
hua tu 	畫圖	c=2 d=1.67706 t=5902
huai le 	壞了	c=1 d=1 t=1855
huai yi 	懷疑	c=1 d=1 t=2983
huai yun 	懷孕	c=1 d=1 t=3947
huan 	換	c=3 d=1.0437 t=6717
huan 	還	c=2 d=1.76338 t=3108
huan cun 	緩存	c=1 d=1 t=6142
huan jing 	環境	c=1 d=1 t=1235
huan ju hua 	換句話	c=1 d=1 t=3823
huan yi zhang 	換一張	c=1 d=1 t=4726
huan ying 	歡迎	c=2 d=1.96561 t=5200
huang mao 	黃毛	c=3 d=1.99005 t=4740
hui 	回	c=3 d=2.3666 t=416
hui 	會	c=27 d=1.35333 t=7327
hui bian 	會變	c=1 d=1 t=5848
hui bu hui 	會不會	c=1 d=1 t=7375
hui da 	回答	c=2 d=1.7788 t=476
hui dou 	灰豆	c=1 d=1 t=7273
hui er 	會兒	c=1 d=0.111558 t=3471
hui fang 	回放	c=1 d=1 t=4008
hui fu 	恢復	c=1 d=1 t=1449
hui guo 	回國	c=3 d=1.10802 t=6613
hui he 	匯合	c=1 d=1 t=6620
hui jia 	回家	c=7 d=1.30576 t=6400
hui lai 	回來	c=1 d=1 t=931
hui le 	回了	c=1 d=1 t=7229
hui mian 	燴麪	c=1 d=1 t=3963
hui qu 	回去	c=1 d=1 t=7285
hui qu 	會去	c=2 d=1 t=7281
hui wan 	會玩	c=0 d=0.1 t=7065
hui yong 	會用	c=2 d=1.00325 t=3293
hui you 	會有	c=2 d=1 t=7208
huo 	或	c=3 d=1 t=4125
huo 	活	c=2 d=1 t=3305
huo ban 	夥伴	c=1 d=1 t=6565
huo bi 	貨幣	c=0 d=0.1 t=3076
huo er 	活兒	c=1 d=1 t=1183
huo guo 	火鍋	c=0 d=0.19802 t=3377
huo guo di liao 	火鍋底料	c=1 d=1 t=3378
huo guo mian 	火鍋麪	c=1 d=1 t=3374
huo ju 	火炬	c=0 d=0.1 t=2533
huo qu 	獲取	c=1 d=1 t=4685
huo shan 	火山	c=1 d=1 t=1674
huo xia lai 	或下來	c=1 d=1 t=209
huo zhe 	或者	c=5 d=1.00947 t=5704
ji 	急	c=3 d=1.00698 t=6273
ji 	集	c=0 d=0.1 t=4196
ji 	雞	c=0 d=0.1 t=1476
ji ba 	雞巴	c=1 d=1 t=6298
ji ben 	幾本	c=1 d=1 t=5076
ji ben shang 	基本上	c=2 d=1 t=4324
ji bu de 	記不得	c=1 d=1 t=5148
ji chang 	機場	c=4 d=2.80318 t=6574
ji dan 	雞蛋	c=2 d=1.02586 t=2230
ji de 	記得	c=4 d=1.00552 t=5341
ji fen zhong 	幾分鐘	c=1 d=1 t=349
ji gao 	極高	c=1 d=1 t=1382
ji ge 	幾個	c=3 d=1.00023 t=5230
ji ge yue 	幾個月	c=1 d=1 t=6701
ji hao 	幾號	c=1 d=1 t=1539
ji hu 	幾乎	c=2 d=1 t=5490
ji hua 	計劃	c=1 d=1 t=2623
ji hui 	機會	c=2 d=1.23693 t=3189
ji kuai 	雞塊	c=3 d=1.00197 t=3364
ji kuan 	幾款	c=1 d=1 t=5251
ji nai 	擠奶	c=1 d=1 t=2329
ji piao 	機票	c=7 d=2.96806 t=6708
ji qi 	機器	c=3 d=1.96079 t=6124
ji qi lai 	記起來	c=1 d=1 t=1945
ji qi ren 	機器人	c=1 d=1 t=845
ji shou 	幾首	c=1 d=1 t=7341
ji xiang 	幾項	c=1 d=1 t=1131
ji xiang wu 	吉祥物	c=1 d=1 t=2338
ji xu 	繼續	c=4 d=1.00005 t=7322
ji yi 	記憶	c=1 d=1 t=1939
ji zhong 	集中	c=1 d=1 t=2379
jia 	加	c=11 d=1.86087 t=6346
jia 	家	c=2 d=1.00001 t=4807
jia cai 	加菜	c=1 d=1 t=2937
jia de 	假的	c=1 d=1 t=402
jia ge 	價格	c=3 d=1.13466 t=6955
jia li 	家裏	c=2 d=1.00835 t=2745
jia neng 	佳能	c=1 d=1 t=3424
jia shang 	加上	c=1 d=1 t=4710
jia she 	假設	c=1 d=1 t=1633
jia you 	加油	c=1 d=1 t=3520
jia zai 	加載	c=8 d=5.8556 t=4633
jia zhao 	駕照	c=2 d=1 t=6793
jian 	件	c=0 d=0.1 t=2156
jian 	煎	c=1 d=1 t=1534
jian 	見	c=1 d=1 t=3864
jian 	鍵	c=1 d=1 t=7029
jian cheng 	簡稱	c=1 d=1 t=4588
jian dan 	簡單	c=3 d=1.23913 t=5898
jian gui 	見鬼	c=1 d=1 t=412
jian guo 	見過	c=1 d=1 t=748
jian hua 	簡化	c=2 d=1 t=3285
jian kang 	健康	c=0 d=0.1 t=2252
jian qie 	剪切	c=0 d=0.1 t=2211
jian qie ban 	剪切板	c=4 d=3.94556 t=2217
jian rong xing 	兼容性	c=1 d=1 t=5123
jian shen 	健身	c=2 d=1 t=6401
jian yi 	建議	c=2 d=1 t=5462
jiang 	講	c=5 d=1.00004 t=6854
jiang 	醬	c=1 d=1 t=559
jiang gu shi 	講故事	c=1 d=1 t=2006
jiang hui 	將會	c=1 d=1 t=2029
jiang jiang 	講講	c=1 d=1 t=2774
jiang le 	講了	c=1 d=1 t=4830
jiang li 	獎勵	c=2 d=1 t=7211
jiang zuo 	講座	c=1 d=1 t=6933
jiao 	交	c=1 d=1 t=5308
jiao 	叫	c=2 d=1.9802 t=343
jiao 	教	c=0 d=0.1 t=3579
jiao 	角	c=0 d=0.1 t=4715
jiao ben 	腳本	c=2 d=1.77105 t=5775
jiao du 	角度	c=1 d=1 t=5832
jiao ge 	叫哥	c=1 d=1 t=5382
jiao gei 	交給	c=0 d=0.1 t=2128
jiao gei ni 	交給你	c=2 d=1.03175 t=2819
jiao gong 	交工	c=1 d=1 t=2532
jiao ren wu 	教任務	c=1 d=1 t=3580
jiao sha 	叫啥	c=2 d=1.00005 t=3461
jiao ta 	叫它	c=1 d=1 t=4663
jiao wo 	教我	c=1 d=1 t=3298
jiao yi 	交易	c=7 d=3.67239 t=7212
jiao zuo 	叫做	c=1 d=1 t=4481
jie 	接	c=1 d=1 t=820
jie 	節	c=1 d=1 t=3467
jie 	藉	c=1 d=1 t=3104
jie chi 	劫持	c=1 d=1 t=2218
jie chu 	接觸	c=1 d=1 t=6820
jie ci 	介詞	c=1 d=1 t=2732
jie guo 	結果	c=2 d=1 t=3136
jie he 	結合	c=1 d=1 t=689
jie jue 	解決	c=7 d=1.0815 t=5963
jie le 	結了	c=1 d=1 t=3937
jie mu 	節目	c=1 d=1 t=4017
jie shi 	解釋	c=1 d=1 t=6285
jie yi 	介意	c=1 d=1 t=1744
jin 	進	c=1 d=1 t=6587
jin cou 	緊湊	c=1 d=1 t=2507
jin guang 	金光	c=1 d=1 t=742
jin hua 	進化	c=0 d=0.1 t=2292
jin hua chu 	進化出	c=1 d=1 t=2293
jin liang 	儘量	c=1 d=1 t=2414
jin qu 	進去	c=2 d=0.131273 t=4914
jin tian 	今天	c=19 d=1.25315 t=5307
jin wan 	今晚	c=6 d=1.00019 t=7007
jin zao 	今早	c=1 d=1 t=3244
jin zao 	儘早	c=1 d=1 t=3243
jing jing 	晶晶	c=1 d=1 t=3929
jing jing 	靜靜	c=2 d=1.89583 t=3925
jing li chong pei 	精力充沛	c=1 d=1 t=1190
jing mian 	鏡面	c=1 d=1 t=4106
jing xi 	驚喜	c=1 d=1 t=3217
jing zheng 	競爭	c=1 d=1 t=53
jiu 	就	c=60 d=4.41788 t=7365
jiu ba 	酒吧	c=1 d=1 t=5344
jiu bo 	久波	c=1 d=1 t=639
jiu dian 	酒店	c=5 d=3.32297 t=6518
jiu hao 	就好	c=1 d=1 t=4505
jiu hui 	就會	c=4 d=1.00384 t=5860
jiu jie 	糾結	c=4 d=1 t=6434
jiu jing 	酒精	c=1 d=1 t=4179
jiu ke yi 	就可以	c=1 d=1 t=5502
jiu neng 	就能	c=1 d=1 t=1503
jiu shi 	就是	c=36 d=1.6797 t=7146
jiu suan 	就算	c=1 d=1 t=664
jiu ting 	就聽	c=1 d=1 t=7330
jiu xing 	就行	c=4 d=1.00031 t=6536
jiu yao 	就要	c=1 d=1 t=3337
jiu yong 	就用	c=1 d=1 t=4586
jiu you 	就有	c=2 d=1.91851 t=1227
jiu zai 	就在	c=1 d=1 t=5505
jiu zou 	就走	c=1 d=1 t=6526
ju 	句	c=0 d=0.1 t=563
ju 	巨	c=1 d=1 t=2522
ju 	聚	c=1 d=1 t=58
ju da 	巨大	c=1 d=1 t=5063
ju gui 	巨貴	c=1 d=1 t=6180
ju li 	舉例	c=1 d=1 t=112
ju man 	巨慢	c=1 d=1 t=321
ju ran 	居然	c=4 d=1 t=6363
ju teng 	巨疼	c=1 d=1 t=3247
jue de 	覺得	c=21 d=1.23417 t=6766
jue dui 	絕對	c=1 d=1 t=2111
ka 	卡	c=1 d=0.100004 t=5175
ka tong 	卡通	c=1 d=1 t=2455
kai 	開	c=3 d=0.103043 t=4730
kai dong 	開動	c=1 d=1 t=7299
kai fa 	開發	c=1 d=1 t=627
kai ge 	開個	c=1 d=1 t=2266
kai le 	開了	c=1 d=1 t=6020
kai ping 	開瓶	c=1 d=1 t=3453
kai shi 	開始	c=5 d=1.0133 t=7243
kai shi fa tang 	開始發燙	c=1 d=1 t=4272
kai tou 	開頭	c=1 d=1 t=3468
kai xin 	開心	c=2 d=1.00295 t=5046
kan 	看	c=28 d=4.15015 t=6967
kan bu 	看不	c=0 d=0.1 t=4226
kan bu chu lai 	看不出來	c=1 d=1 t=5838
kan bu dao 	看不到	c=2 d=1.00374 t=6101
kan bu ming bai 	看不明白	c=1 d=1 t=4227
kan che 	看車	c=1 d=1 t=2615
kan cheng 	看成	c=1 d=1 t=1840
kan chu lai 	看出來	c=3 d=1.00051 t=4201
kan dao 	看到	c=3 d=1.07465 t=4715
kan dong 	看懂	c=2 d=1.03491 t=5081
kan fa 	看法	c=1 d=1 t=5019
kan guo 	看過	c=1 d=1 t=6227
kan jian 	看見	c=2 d=1 t=7246
kan kan 	看看	c=8 d=1.16717 t=6517
kan lai 	看來	c=1 d=1 t=2779
kan le 	看了	c=3 d=1.13261 t=1844
kan le kan 	看了看	c=1 d=1 t=1340
kan le xia 	看了下	c=1 d=1 t=366
kan ming 	看明	c=1 d=1 t=4049
kan qi lai 	看起來	c=3 d=2.66354 t=3831
kan ta 	看他	c=1 d=1 t=6853
kan wan 	看完	c=2 d=1.37158 t=4194
kan zhe 	看着	c=5 d=1 t=6929
kang fu 	康復	c=1 d=1 t=1438
kao lv 	考慮	c=1 d=1 t=2633
kao ping 	考評	c=0 d=0.1 t=6014
kao pu 	靠譜	c=1 d=1 t=6016
kao shi 	考試	c=1 d=1 t=2382
ke 	可	c=1 d=1 t=1312
ke 	課	c=3 d=1.13138 t=5233
ke jian 	課間	c=1 d=1 t=6385
ke lian 	可憐	c=2 d=1.1028 t=1565
ke neng 	可能	c=21 d=2.69871 t=7260
ke suan 	可算	c=1 d=1 t=1993
ke tao 	客套	c=3 d=2.77275 t=421
ke xi 	可惜	c=1 d=1 t=257
ke xue 	科學	c=1 d=1 t=5262
ke xue yuan 	科學院	c=1 d=1 t=4938
ke yi 	可以	c=43 d=2.25811 t=7389
ken ding 	肯定	c=6 d=1.00232 t=7326
keng 	坑	c=1 d=1 t=5065
keng bi 	坑比	c=1 d=1 t=1154
kong 	空	c=1 d=1 t=4371
kong ju 	恐懼	c=0 d=0.1 t=5020
kou kuan 	扣款	c=2 d=1.89583 t=4976
kou yin 	口音	c=2 d=1.00001 t=3213
ku shou 	苦手	c=3 d=2.02392 t=2821
kuai 	塊	c=6 d=1.71359 t=7208
kuai 	快	c=7 d=1.01046 t=6350
kuai jie jian 	快捷鍵	c=1 d=1 t=4285
kuai lai 	快來	c=2 d=1.00001 t=2730
kuai le 	快樂	c=2 d=1.96079 t=2739
kuai qian 	塊錢	c=4 d=2.17909 t=6393
kuai shui ba 	快睡吧	c=1 d=1 t=2812
kuai yi dian 	快一點	c=1 d=1 t=3812
kuan gao 	寬高	c=1 d=1 t=5638
kuang 	框	c=1 d=1 t=5566
kuang 	狂	c=1 d=1 t=3251
kuang an 	狂按	c=2 d=1.77105 t=6140
kuang gong 	礦工	c=1 d=1 t=1647
kuang qie 	況且	c=1 d=1 t=4753
kuang shi 	礦石	c=1 d=1 t=1392
kuang ye 	礦業	c=1 d=1 t=1646
kun 	困	c=1 d=1 t=6160
kun bang 	捆綁	c=1 d=1 t=4309
kun chong 	昆蟲	c=1 d=1 t=7221
kun de 	困得	c=1 d=1 t=1123
kun rao 	困擾	c=1 d=1 t=1805
kun si 	困死	c=1 d=1 t=3470
la 	啦	c=14 d=1.25159 t=7282
la 	辣	c=1 d=1 t=5411
la ji 	垃圾	c=1 d=1 t=1570
la jiao 	辣椒	c=1 d=1 t=2909
la mian 	拉麪	c=1 d=1 t=3365
lai 	來	c=11 d=0.863233 t=7017
lai de 	來的	c=0 d=0.1 t=3561
lai de ji 	來得及	c=1 d=1 t=1574
lai le 	來了	c=0 d=0.1 t=4266
lai zhe 	來着	c=1 d=1 t=2574
lai zi 	來自	c=1 d=1 t=1657
lan de 	懶得	c=3 d=1.00001 t=6895
lan pi shu 	藍皮鼠	c=1 d=1 t=7271
lan se 	藍色	c=1 d=1 t=3510
lan zai 	爛在	c=1 d=1 t=1885
lao ge 	老歌	c=1 d=1 t=7342
lao shi 	老師	c=5 d=1 t=7252
lao zhang 	老張	c=1 d=1 t=859
le 	了	c=229 d=4.88088 t=7380
le 	樂	c=0 d=0.1 t=1401
le bai shi 	樂百事	c=1 d=1 t=1402
lei 	累	c=1 d=1 t=3334
lei le 	累了	c=3 d=1.00001 t=3370
lei si 	累死	c=1 d=1 t=3309
lei si 	類似	c=1 d=1 t=3308
lei xing 	類型	c=1 d=1 t=1976
li 	裏	c=20 d=1.14845 t=7270
li 	離	c=9 d=1.00052 t=6107
li hai 	厲害	c=3 d=1 t=5429
li jie 	理解	c=2 d=1 t=7112
li kai 	離開	c=1 d=1 t=70
li liang 	力量	c=1 d=1 t=41
li lun 	理論	c=3 d=1.23346 t=6294
li lun shang 	理論上	c=1 d=1 t=2555
li mian 	裏面	c=17 d=3.29341 t=6066
li nian 	理念	c=1 d=1 t=1631
li tang 	禮堂	c=1 d=1 t=2078
li xing 	理性	c=0 d=0.1 t=1636
li xing ren 	理性人	c=1 d=1 t=1637
li yong 	利用	c=1 d=1 t=3657
li you 	理由	c=1 d=1 t=2244
li zi 	例子	c=2 d=1 t=6881
lia 	倆	c=1 d=1 t=1078
lia yue 	倆月	c=1 d=1 t=7284
lian 	練	c=2 d=1.16365 t=4345
lian 	臉	c=5 d=4.44501 t=5929
lian 	連	c=1 d=1 t=331
lian 	鏈	c=1 d=1 t=7203
lian hang 	聯航	c=1 d=1.02312 t=6200
lian shang 	臉上	c=1 d=1 t=5850
lian wo 	連我	c=1 d=1 t=2766
lian zhe 	連着	c=1 d=1 t=2924
liang 	兩	c=0 d=0.1 t=2475
liang an 	兩岸	c=1 d=1 t=7148
liang bai ju shang 	兩敗俱傷	c=1 d=1 t=892
liang bian 	兩邊	c=1 d=1 t=4322
liang cheng 	量程	c=1 d=1 t=6288
liang ci 	兩次	c=2 d=1.00415 t=5868
liang dian 	亮點	c=1 d=1 t=1666
liang dian 	兩點	c=1 d=1 t=1667
liang feng 	兩封	c=1 d=1 t=2834
liang ge 	兩個	c=9 d=1.0057 t=7241
liang ge yue 	兩個月	c=0 d=0.1 t=1557
liang jie ke 	兩節課	c=1 d=1 t=3448
liang ping 	兩瓶	c=1 d=1 t=4155
liang ren 	兩人	c=5 d=4.45094 t=152
liang tao 	兩套	c=1 d=1 t=3713
liang tian 	兩天	c=0 d=0.1 t=379
liang xi 	涼蓆	c=1 d=1 t=7031
liang xia 	兩下	c=1 d=1 t=7032
liang xin 	良心	c=1 d=1 t=6771
liang yue 	兩月	c=1 d=1 t=3655
liang zhang 	兩張	c=1 d=1 t=6218
liang zhang lian 	兩張臉	c=1 d=1 t=2476
liang zhong 	兩種	c=1 d=1 t=635
liang zhou 	兩週	c=1 d=1 t=2180
